Participant No;Age;Gender;Nationality;Country of fromative years;Country of residency;F1 (Active Engagement);F2 (Perceptual Abilities);F3 (Musical Training);F4 (Emotions);F5 (Singing Abilities);F6 (Skills on 20th Century Music);FG (General Sophistication);FGE (General Sophistication - Extended)
1;29;Male;Greek;Greece;Greece;52;53;45;36;41;32;106;138
2;24;Female;Spanish;Spain;Netherlands;51;56;39;39;42;24;103;127
5;29;Male;Greek;Greece;Greece;33;57;38;24;33;22;86;108
6;23;Female;Dutch;Aruba;Netherlands;48;33;13;33;24;18;62;80
7;26;Male;Greek;Greece;Greece;53;62;44;38;46;30;113;143
8;25;Female;Greek;Greece;Greece;35;44;10;34;32;22;66;88
9;29;Male;Greek;Greece;Greece;51;55;41;36;36;30;97;127
11;21;Male;Greek;Greece;Greece;41;55;34;35;44;20;98;118
12;30;Female;Greek;Greece;United States;45;53;44;39;33;26;95;121
15;23;Female;Greek;Greece;Greece;51;52;42;37;28;29;90;119
16;37;Female;Greek;Greece;Greece;56;63;46;41;42;29;114;143
17;18;Male;Greek;Greece;Greece;46;58;39;41;33;27;96;123
19;24;Female;Greek;Greece;Greece;45;43;39;34;39;32;96;128
20;27;Female;American;United States;United States;32;46;8;34;13;9;46;55
21;20;Other;Greek;Greece;Greece;52;63;46;42;42;18;113;131
22;25;Male;German;Germany;Germany;49;57;22;32;36;8;93;101
23;24;Female;Indian;India;Netherlands;45;60;39;39;42;20;101;121
24;25;Male;Greek;Greece;Greece;37;39;19;26;26;22;69;91
25;25;Female;Dutch;Netherlands;Netherlands;51;62;34;38;36;21;101;122
26;27;Male;Greek;Greece;Greece;39;35;18;29;29;32;73;105
27;23;Female;Greek;Greece;Greece;32;50;13;30;31;11;71;82
28;24;Female;Greek;Greece;Greece;43;52;36;28;39;27;92;119
29;21;Male;Greek;Greece;Greece;51;59;42;34;44;19;108;127
30;23;Female;Greek;Greece;Greece;36;40;9;31;25;12;62;74
31;30;Male;Greek;Greece;Greece;45;58;44;38;28;19;91;110
33;25;Female;Greek;Greece;Greece;49;53;42;35;38;20;100;120
34;24;Female;Greek;Greece;Greece;45;58;44;39;43;19;107;126
35;25;Female;Greek;Greece;Greece;47;50;44;28;38;19;97;116
36;25;Male;Greek;Greece;Greece;55;57;47;35;39;36;113;149
37;26;Female;American;United States;United States;38;52;41;32;33;22;90;112
38;22;Female;Netherlander;Netherlands;Netherlands;49;52;43;35;33;27;94;121
39;43;Male;Greek;Greece;Greece;46;44;41;30;30;25;86;111
40;34;Female;Dutch;Netherlands;Netherlands;44;57;28;39;39;22;91;113
42;24;Female;Dutch;Netherlands;Netherlands;52;35;31;28;32;20;82;102
43;25;Female;Cypriot;Cyprus;Netherlands;50;57;43;41;43;30;104;134
44;27;Female;Greek;Greece;Greece;48;49;39;34;38;25;93;118
