;3-1;3-2A;3-2B;3-3A;3-3B;3-4A;3-4B;3-5A;3-5B;3-6;3-7A;3-7B;3-8A;3-8B;3-9;3-10;3-11A;3-11B;3-12
3-1;0;1;1;3;1;2;2;3;2;1;2;1;1;3;3;2;2;3;3
3-2A;;0;1;3;1;2;2;1;3;2;1;1;3;2;3;2;1;3;2
3-2B;;;0;1;1;3;2;3;2;3;1;1;1;2;1;3;1;3;3
3-3A;;;;0;2;3;1;3;2;2;3;2;1;1;1;3;2;2;3
3-3B;;;;;0;3;1;1;3;2;2;2;3;3;1;1;1;3;2
3-4A;;;;;;0;1;3;1;3;2;2;2;2;2;2;3;3;2
3-4B;;;;;;;0;1;1;1;2;3;3;3;3;2;3;1;2
3-5A;;;;;;;;0;1;3;3;3;2;2;2;1;2;2;1
3-5B;;;;;;;;;0;1;3;3;2;3;3;3;2;3;3
3-6;;;;;;;;;;0;1;2;1;2;1;2;2;1;2
3-7A;;;;;;;;;;;0;1;3;3;1;3;2;2;3
3-7B;;;;;;;;;;;;0;2;3;2;1;1;3;1
3-8A;;;;;;;;;;;;;0;2;1;1;3;3;3
3-8B;;;;;;;;;;;;;;0;3;2;1;1;1
3-9;;;;;;;;;;;;;;;0;2;2;2;2
3-10;;;;;;;;;;;;;;;;0;1;3;1
3-11A;;;;;;;;;;;;;;;;;0;1;1
3-11B;;;;;;;;;;;;;;;;;;0;1
3-12;;;;;;;;;;;;;;;;;;;0
